rubber duck,532707,,"A rubber duck (also known as a rubber ducky) is a toy shaped like a stylized duck, generally yellow with a flat base
 It may be made of rubber or rubber-like material such as vinyl plastic
 The yellow rubber duck has achieved an iconic status in Western pop culture and is often symbolically linked to bathing



== History ==

The history of the rubber duck is linked to the emergence of rubber manufacturing in the late 19th century
 The earliest rubber ducks were made from harder rubber when manufacturers began using Charles Goodyear's invention, vulcanized rubber
"
rubber duck,532707,,"A rubber duck (also known as a rubber ducky) is a toy shaped like a stylized duck, generally yellow with a flat base
 It may be made of rubber or rubber-like material such as vinyl plastic
 The yellow rubber duck has achieved an iconic status in Western pop culture and is often symbolically linked to bathing



== History ==

The history of the rubber duck is linked to the emergence of rubber manufacturing in the late 19th century
 The earliest rubber ducks were made from harder rubber when manufacturers began using Charles Goodyear's invention, vulcanized rubber
"
mp3 player,158193,,"An MP3 player is an electronic device that can play MP3 digital audio files
 It is a type of digital audio player, or portable media player
 Most players play more than the MP3 file format, such as Windows Media Audio (WMA), Advanced Audio Coding (AAC), Vorbis, FLAC, Speex and Ogg



== History ==


=== Digital audio player ===

In 1981, Kane Kramer filed for a UK patent for the IXI, the first Digital Audio Player
 UK patent 2115996 was issued in 1985, and U
S
 Patent 4,667,088 was issued in 1987
"
pencil,803716,,"A pencil is an implement for writing or drawing, constructed of a narrow, solid pigment core in a protective casing that prevents the core from being broken and/or marking the user's hand

Pencils create marks by physical abrasion, leaving a trail of solid core material that adheres to a sheet of paper or other surface
 They are distinct from pens, which dispense liquid or gel ink onto the marked surface

Most pencil cores are made of graphite powder mixed with a clay binder
 Graphite pencils (traditionally known as 'lead pencils') produce grey or black marks that are easily erased, but otherwise resistant to moisture, most chemicals, ultraviolet radiation and natural aging
"
mirror,904326,,"A mirror is an object that reflects light in such a way that, for incident light in some range of wavelengths; the reflected light preserves many or most of the detailed physical characteristics of the original light, called specular reflection
 This is different from other light-reflecting objects that do not preserve much of the original wave signal other than color and diffuse reflected light, such as flat-white paint

The most familiar type of mirror is the plane mirror, which has a flat surface
 Curved mirrors are also used, to produce magnified or diminished images or focus light or simply distort the reflected image

Mirrors are commonly used for personal grooming, viewing oneself (where they are also called looking-glasses), viewing the area behind and on the sides on motor vehicles while driving, for decoration, and architecture
"
flag,446154,,"A flag is a piece of fabric (most often rectangular or quadrilateral) with a distinctive design and colours
 It is used as a symbol, a signalling device, or for decoration
 The term flag is also used to refer to the graphic design employed, and flags have evolved into a general tool for rudimentary signalling and identification, especially in environments where communication is challenging (such as the maritime environment, where semaphore is used)
 The study of flags is known as ""vexillology"" from the Latin vexillum, meaning ""flag""

National flags are patriotic symbols with widely varied interpretations that often include strong military associations because of their original and ongoing use for that purpose
"
couch,519744,,"A couch (U.S. English, Australian English and South African English), also known as a sofa,  futon, chesterfield (Canadian English), or settee/sofa or couch (British English, Irish English and New Zealand English) is a piece of furniture for seating two or three people in the form of a bench, with armrests, which is partially or entirely upholstered, and often fitted with springs and tailored cushions
 Although a couch is used primarily for seating, it may be used for sleeping
 In homes, couches are normally found in the family room, living room, den, or the lounge
 They are sometimes also found in non-residential settings such as hotels, lobbies of commercial offices, waiting rooms, and bars



== History of the term ==
The term couch is predominantly used in Ireland, North America, South Africa, Australia and the United Kingdom, although, the terms sofa and settee (U and non-U) are sometimes used in the United Kingdom
"
soap,259257,,"SOAP (abbreviation for Simple Object Access Protocol) is a messaging protocol specification for exchanging structured information in the implementation of web services in computer networks
 Its purpose is to provide extensibility, neutrality and independence
 It uses XML Information Set for its message format, and relies on application layer protocols, most often Hypertext Transfer Protocol (HTTP), although some legacy systems communicate over Simple Mail Transfer Protocol (SMTP), for message negotiation and transmission

SOAP allows developers to invoke processes running on disparate operating systems (such as Windows, macOS, and Linux) to authenticate, authorize, and communicate using Extensible Markup Language (XML)
 Since Web protocols like HTTP are installed and running on all operating systems, SOAP allows clients to invoke web services and receive responses independent of language and platforms
"
twezzers,820874,,"Twelver (Arabic: ٱثْنَا عَشَرِيَّة‎; ʾIthnā ʿAšarīyah Persian: شیعه دوازده‌امامی‎, Šī'eh-ye Davâzdah-Emâmī), also known as Imamiyyah (Arabic: إِمَامِيَّة‎), is the largest branch of Shia Islam
 The term Twelver refers to its adherents' belief in twelve divinely ordained leaders, known as the Twelve Imams, and their belief that the last Imam, Imam al-Mahdi, lives in occultation and will reappear as the promised Mahdi
 According to Shia tradition, the Mahdi's tenure will coincide with the Second Coming of Jesus, who is to assist the Mahdi against the Dajjal

Twelvers believe that the Twelve Imams are the spiritual and political successors to the Islamic prophet Muhammad
 According to the theology of Twelvers, the Twelve Imams are exemplary human individuals who not only rule over the community with justice, but are also able to preserve and interpret sharia and the esoteric meaning of the Quran
"
towel,938335,,"A towel is a piece of absorbent fabric or paper used for drying or wiping a body or a surface
 It draws moisture through direct contact, often using a blotting or a rubbing motion

In households, several types of fabric towels are used, including hand towels, bath towels and kitchen towels
 In warm climates, people may also use beach towels

Paper towels are provided in commercial or office bathrooms for users to dry their hands
"
